epoch,emotion_accuracy,intent_accuracy,loss,sarcasm_accuracy,sentiment_accuracy,spam_accuracy,toxicity_accuracy,val_emotion_accuracy,val_intent_accuracy,val_loss,val_sarcasm_accuracy,val_sentiment_accuracy,val_spam_accuracy,val_toxicity_accuracy
0,0.6135126352310181,0.3196517825126648,4.359421730041504,0.968288242816925,0.4216362535953522,0.9589552879333496,0.9600843191146851,0.6541896462440491,0.39518314599990845,3.665646553039551,0.9686903953552246,0.44465628266334534,0.964576005935669,0.963973879814148
0,0.6130108833312988,0.31623974442481995,4.342991828918457,0.9660302400588989,0.41679421067237854,0.9572994709014893,0.9598333835601807,0.6535875797271729,0.4012042284011841,3.6670494079589844,0.9686903953552246,0.4972403347492218,0.9646763801574707,0.963973879814148
1,0.6466042995452881,0.35914096236228943,3.771353006362915,0.9718758463859558,0.4638350307941437,0.9644747972488403,0.9659299254417419,0.6531861424446106,0.39889612793922424,3.640181541442871,0.9686903953552246,0.4954340159893036,0.9647766947746277,0.963973879814148
2,0.6458014249801636,0.36380741000175476,3.7273995876312256,0.9719260334968567,0.4661933183670044,0.9650267362594604,0.9660804271697998,0.655494213104248,0.39638736844062805,3.652038335800171,0.9686903953552246,0.5021575689315796,0.964475691318512,0.963973879814148
3,0.6464537382125854,0.3637823462486267,3.7135472297668457,0.9719260334968567,0.47008204460144043,0.9649012684822083,0.9660302400588989,0.6539889574050903,0.39488208293914795,3.6578376293182373,0.9686903953552246,0.48048168420791626,0.9646763801574707,0.963973879814148
4,0.6485109925270081,0.36282896995544434,3.713864803314209,0.9719260334968567,0.4669961631298065,0.9653779864311218,0.9660804271697998,0.6550928354263306,0.3971901535987854,3.6898958683013916,0.9686903953552246,0.505770206451416,0.9646763801574707,0.963973879814148
5,0.6495396494865417,0.3658897578716278,3.7164833545684814,0.9719511270523071,0.4668707251548767,0.965101957321167,0.9659550189971924,0.6505770087242126,0.390968382358551,3.625223159790039,0.9686903953552246,0.49182137846946716,0.964475691318512,0.963973879814148
6,0.6488622426986694,0.3662661015987396,3.714467763900757,0.9719511270523071,0.4669961631298065,0.9649012684822083,0.9660804271697998,0.6561967134475708,0.36076265573501587,3.6851985454559326,0.9686903953552246,0.4370296001434326,0.9646763801574707,0.963973879814148
7,0.6487618684768677,0.3651120066642761,3.7178092002868652,0.9719260334968567,0.46526506543159485,0.9652274250984192,0.9658546447753906,0.656096339225769,0.39578524231910706,3.657266855239868,0.9686903953552246,0.4905168116092682,0.9650777578353882,0.963973879814148
8,0.6461275815963745,0.3619759678840637,3.7293055057525635,0.9719260334968567,0.4660177230834961,0.9652525186538696,0.9661557078361511,0.6542900204658508,0.37059709429740906,3.632718086242676,0.9686903953552246,0.5028600096702576,0.9649774432182312,0.963973879814148
9,0.6480594277381897,0.3665420711040497,3.717452049255371,0.9719009399414062,0.4670965075492859,0.965101957321167,0.9661055207252502,0.655494213104248,0.3986954391002655,3.6581852436065674,0.9686903953552246,0.49904665350914,0.9646763801574707,0.963973879814148
10,0.6482601165771484,0.3672947287559509,3.7160494327545166,0.9719009399414062,0.4702576696872711,0.9648510813713074,0.9659550189971924,0.6542900204658508,0.3560461699962616,3.6377763748168945,0.9686903953552246,0.48790767788887024,0.9646763801574707,0.963973879814148
11,0.6485109925270081,0.3676208555698395,3.7122857570648193,0.9719260334968567,0.47010713815689087,0.9649012684822083,0.9661055207252502,0.6484696269035339,0.40321123600006104,3.6382274627685547,0.9686903953552246,0.49834421277046204,0.9646763801574707,0.963973879814148
12,0.6486113667488098,0.36260318756103516,3.7194712162017822,0.9719511270523071,0.4660678803920746,0.9651521444320679,0.9660553336143494,0.6551931500434875,0.3995985984802246,3.6267879009246826,0.9686903953552246,0.4846964478492737,0.9642749428749084,0.963973879814148
13,0.6514463424682617,0.3650367558002472,3.7145750522613525,0.9719260334968567,0.4714618921279907,0.9650267362594604,0.9659299254417419,0.6544907093048096,0.36598092317581177,3.644771099090576,0.9686903953552246,0.47807326912879944,0.9651781320571899,0.963973879814148
14,0.6484608054161072,0.3650367558002472,3.7177464962005615,0.9719009399414062,0.46907851099967957,0.9651772379875183,0.9660302400588989,0.6549924612045288,0.3961866497993469,3.623288631439209,0.9686903953552246,0.48389363288879395,0.9643753170967102,0.9636728763580322
